MA_Period,Final_Balance,Total_Return_Pct,Return_2013_Pct,Return_2014_Pct,Return_2015_Pct,Return_2016_Pct,Return_2017_Pct,Return_2018_Pct,Return_2019_Pct,Return_2020_Pct,Return_2021_Pct,Return_2022_Pct,Return_2023_Pct,Return_2024_Pct,Return_2025_Pct
2,1.0511926767078714e-217,-100.0,-17.980005250344078,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-99.6430223108203
3,2.83298726102575e-163,-100.0,-13.148092074333118,-99.99999999999997,-99.99999999999987,-100.0,-99.99999999999763,-99.99999999999999,-99.99999999999997,-99.99999999999993,-99.99999999999967,-99.99999999999997,-99.99999999999962,-99.99999999999972,-98.53375595380979
4,3.835015702356132e-135,-100.0,-14.059350364398703,-99.99999999999588,-99.99999999998327,-99.9999999999997,-99.9999999985183,-99.99999999999304,-99.99999999997833,-99.99999999995646,-99.99999999994827,-99.99999999998786,-99.99999999983541,-99.99999999993341,-96.80844130394746
5,3.366222335096909e-119,-100.0,-16.306733843173017,-99.99999999995057,-99.99999999954228,-99.99999999999162,-99.99999996674308,-99.99999999980417,-99.99999999955152,-99.99999999794005,-99.9999999985721,-99.99999999970804,-99.99999999547036,-99.99999999573818,-95.61971307997985
6,2.1339903500127967e-108,-100.0,-12.075098050556354,-99.9999999996808,-99.99999999762048,-99.99999999989349,-99.99999960938798,-99.99999999709931,-99.9999999939702,-99.99999999467678,-99.99999996374875,-99.99999999686294,-99.99999996314295,-99.99999996837647,-93.77656110945541
7,1.0505107531521478e-99,-100.0,-12.245083256586376,-99.99999999787875,-99.9999999839434,-99.9999999996338,-99.99999835146369,-99.9999999662685,-99.99999991737836,-99.99999996617731,-99.99999991288573,-99.99999998147578,-99.99999972559614,-99.99999980998786,-92.65938347252151
8,8.123357973605247e-93,-100.0,-11.367534089152231,-99.99999999239073,-99.99999993446987,-99.99999999750422,-99.99999004670754,-99.99999989078665,-99.99999975427991,-99.99999981688578,-99.9999996148975,-99.99999991265643,-99.99999940608785,-99.9999992573753,-89.85041436819893
9,1.0214035725646844e-86,-100.0,-11.600470924660378,-99.99999997168504,-99.9999996337458,-99.9999999896805,-99.999955370013,-99.9999997372703,-99.9999994009031,-99.99999908523158,-99.99999870890501,-99.99999970679265,-99.99999810610338,-99.9999981108766,-87.59500756068275
10,5.841569993413388e-82,-100.0,-6.423200388907901,-99.99999990795835,-99.9999988252804,-99.99999996920099,-99.99987213560347,-99.99999886094172,-99.99999908747833,-99.99999721302889,-99.99999699166699,-99.99999927441642,-99.99999724108942,-99.99999362760003,-86.81194414899159
11,9.703488554878828e-78,-100.0,-2.292950703403851,-99.99999971139427,-99.99999793255189,-99.9999999188576,-99.999555299533,-99.99999814716904,-99.99999778202434,-99.9999938101821,-99.99999452832769,-99.99999787143985,-99.99999419094911,-99.99998048064755,-86.26906998718847
12,4.28278800595532e-74,-100.0,-2.5566674356483854,-99.99999950544888,-99.99999462946056,-99.99999984874664,-99.99916257907918,-99.99999759766276,-99.99999425883126,-99.99998784127607,-99.9999850826659,-99.99999596312631,-99.9999814362545,-99.99995923157495,-82.90581888588984
13,1.3005182595827984e-70,-100.0,-1.247267583901246,-99.99999919688318,-99.99998830853576,-99.99999964864116,-99.99855686624835,-99.99999425613476,-99.99998840851947,-99.9999707688604,-99.99996888705454,-99.99999393203109,-99.99995366181936,-99.99990856921069,-82.23122742089888
14,3.217062546969733e-67,-100.0,-1.247267583901246,-99.99999835894401,-99.99996754554365,-99.99999916291162,-99.99678969137487,-99.99998864077658,-99.99998033618043,-99.99993877238155,-99.99993594707315,-99.99998672722782,-99.99992254942548,-99.99987174357432,-80.29273907918764
15,5.01223487619028e-64,-100.0,-1.247267583901246,-99.99999718113136,-99.99993093308066,-99.99999727273965,-99.99442819761735,-99.99998121609636,-99.99995296007816,-99.99991358351019,-99.99986269528884,-99.99997916608604,-99.99986966689026,-99.99972211020612,-78.31385574487048
16,3.0781357369274443e-61,-100.0,-1.247267583901246,-99.99999555600237,-99.99990143056547,-99.99999494258354,-99.98982015789454,-99.9999539274804,-99.99993339390643,-99.99983594195518,-99.99975960523382,-99.99994138885128,-99.99980803591811,-99.99949872163582,-79.75139225086882
17,1.168346092593796e-57,-100.0,-1.247267583901246,-99.99999161592731,-99.99978793139428,-99.99998834089928,-99.97904947768995,-99.99990589847812,-99.99975416082015,-99.99974911157233,-99.99952323773827,-99.99986694721044,-99.99959610262846,-99.99920798722432,-76.87010720804575
18,9.748332470003534e-56,-100.0,-1.247267583901246,-99.99999023803835,-99.99966901391768,-99.99998319639019,-99.97824931457842,-99.99983763080499,-99.9995244327422,-99.99952765967954,-99.99910334404832,-99.99983876586343,-99.99914655863135,-99.99927933806603,-74.22491315776243
19,1.9072760210014667e-53,-100.0,-1.247267583901246,-99.99998229180616,-99.99934502826287,-99.99997020258196,-99.96969215835702,-99.99978995110534,-99.99935550159793,-99.99924254811867,-99.9984129084988,-99.99974013725699,-99.99862874820336,-99.99877161383786,-74.11557311156362
20,2.049428749738946e-51,-100.0,-1.247267583901246,-99.99997199216993,-99.99909901845368,-99.99993735196098,-99.9621160984328,-99.99970180444828,-99.9988305229105,-99.99889893610032,-99.9978432827693,-99.9996620466252,-99.99831873095904,-99.99765050902059,-68.65561397892468
