MA_Period,Final_Balance,Total_Return_Pct,Return_2013_Pct,Return_2014_Pct,Return_2015_Pct,Return_2016_Pct,Return_2017_Pct,Return_2018_Pct,Return_2019_Pct,Return_2020_Pct,Return_2021_Pct,Return_2022_Pct,Return_2023_Pct,Return_2024_Pct,Return_2025_Pct
54,38605.781882289026,-96.1394218117711,,-71.47653183543814,61.073201566629805,-9.184622301391855,293.28834690508273,-65.21244213202829,-17.625228704809036,49.949877462351175,-27.40225951354427,-80.7538747553907,-33.81573961296408,-34.86200079999505,-9.10574497642167
55,53979.2369028497,-94.60207630971503,,-68.92873000953371,56.813747446930726,0.07789879578756764,298.0807806700616,-65.7645968321592,-23.83380216357577,67.0363789854979,-27.892412085713293,-79.14928598203153,-35.18697507463735,-31.311016634523913,-4.616304565200124
56,49398.94174421912,-95.06010582557809,,-68.02238369964341,47.669581655807946,-0.09425405735529191,219.11969668144562,-64.42294007154929,-18.26739589729154,74.44843830715342,-31.041275192380823,-78.44618629753552,-30.527053801264692,-34.32489872856016,-4.616304565200158
57,48313.24238818144,-95.16867576118186,,-67.26470387945972,58.010572401263175,-1.016792111716791,248.99694401456065,-70.91364157172531,-17.32361944251667,51.248733712231534,-31.224363538282816,-77.35610648187631,-30.329529892802743,-27.997304381889464,-4.844292512440318
58,42117.41679263551,-95.78825832073645,,-71.19634151425967,63.42361764840343,-9.267939407709614,228.11546266800664,-68.60794037104797,-20.545769446589556,58.791925109610666,-20.845616658350274,-79.31481153493854,-30.152787815203297,-28.472902705570668,-7.2332372257392645
59,46507.61178670359,-95.34923882132964,,-70.63868060963019,55.462364829200304,-9.237610502482452,237.66310411155857,-68.94216485670242,-16.030152385147133,49.07506604056617,-14.393215609408983,-79.96210779146749,-25.32601589103226,-28.03237993809038,-7.2385706582903
60,38988.66343666513,-96.10113365633349,,-70.66778216551907,52.30071177479518,-11.354346505593039,225.41214134879888,-67.74098278392367,-15.10113225790537,51.17841802705922,-21.758733485704486,-80.2675429046613,-28.689722419049712,-28.329656530573722,-7.391929589730973
61,47517.19654421843,-95.24828034557815,,-70.38302493492962,71.23592995870665,-17.821633164723394,275.18385263483543,-68.14570425991187,-18.796873928695224,68.333845482873,-26.63262616502946,-81.11070810088604,-20.753550884845172,-31.38341503165187,-7.386604974740529
62,42263.84243123291,-95.77361575687671,,-70.03544151130139,62.15280743317002,-27.35179132327026,270.1642858940686,-67.25506053856363,-6.332307106223311,53.149436212151954,-30.58888433606859,-81.07954477642242,-18.862568288580185,-30.223029002485045,-7.386604974740507
63,39641.11777070967,-96.03588822292903,,-70.02829423077216,63.630946351894565,-33.688025461835046,336.4827584018072,-65.60970935968025,-9.880411928793443,52.56685938396388,-29.034250713800326,-81.61062314882221,-25.44199021528294,-32.46147068005072,-10.12622699387925
