n,m,final_balance,total_return,2015_return,2016_return,2017_return,2018_return,2019_return,2020_return,2021_return,2022_return,2023_return,2024_return,2025_return
2,20,108113288.62186417,10711.328862186418,14.353347432831232,69.09880614330135,874.8790222534985,-18.216517754170468,89.17041394965983,221.59372632821692,47.48095169762869,-53.66544163672946,61.270641669071125,51.235092532265455,-5.877446126277109
2,21,124016122.21594332,12301.612221594332,16.852427200458898,67.30931045724195,1001.598580041823,-22.67677025036682,95.56500797948195,236.8828593790278,37.317121598698755,-55.44821734377786,58.38643636334733,59.94059500057358,-5.877446126277109
2,22,141776739.38338333,14077.673938338334,11.856188188050098,75.00113556600085,1026.9481862107807,-18.550066810981637,88.00063491836008,269.408077550889,57.94731512803377,-60.525915188411176,61.06276642320152,55.48447633576499,-5.877446126277097
2,23,234796390.16561994,23379.639016561992,12.072544451469792,65.60856006003273,1321.9996702390292,-14.909409292041243,93.7791022757931,277.82138316822983,65.91071714137496,-58.60082941515912,48.50829528397338,74.22694831050951,-4.110527939320474
2,24,171718266.05621022,17071.82660562102,24.145768710138693,61.92381017863748,1291.736400320441,-13.142562318827656,81.9711695320469,262.1733084835354,66.52136842700635,-58.01512236225577,58.373615765396835,78.26632668009368,-3.567173218544384
2,25,201335279.11625737,20033.527911625737,20.710905544245506,59.2628446855493,1205.995545455702,-18.583737507246944,81.971169532047,256.6588536676085,102.11662117891795,-57.56923035374075,59.77204121285238,92.09622319086354,-3.567173218544395
2,26,165200433.58052957,16420.043358052957,19.589319064538223,72.27240277870328,956.1069320900647,-23.10592512826598,79.57279674212361,252.50328270583768,119.30651298139496,-60.59803614319746,59.491550671827255,86.8264009113688,-3.567173218544395
2,27,186321374.177485,18532.137417748498,8.936755486454784,69.01825328372901,864.9708008944752,-19.470509872552178,83.03874281102938,274.7910149741274,147.2300057686824,-55.95736647047129,60.96520240570684,91.4335682616868,-3.567173218544406
2,28,153868011.52220944,15286.801152220944,19.656701329684957,62.61178553711122,832.9286749938344,-20.97686727466881,74.60311727831336,266.5568508077103,155.69107426370178,-58.165234046882986,57.63310560818105,96.41928521779573,-3.4591340822040517
2,29,149350345.16845652,14835.034516845653,22.690076088611622,85.75683413832975,712.0722951893129,-27.31560661274779,88.7608084239982,254.20628416442085,166.54520924044206,-61.27927799320312,56.353863664390744,96.41928521779583,-3.4591340822040517
2,30,197556293.23301747,19655.629323301746,23.52622100670081,98.10225699029047,778.9156386048192,-35.837947753866,98.50924289039817,266.21727042585206,166.5452092404419,-55.74820637661833,54.31539201908508,107.62866928954296,-6.412835616655355
2,31,235724834.6634817,23472.48346634817,29.183877758066256,111.70683439531821,792.0429058929234,-38.71512406004122,105.66619935161884,284.7172584714275,155.89164361796512,-55.36490385624446,55.92276708363671,115.42337384966888,-4.214991127451917
2,32,291593952.4679197,29059.395246791973,32.91126104928996,106.84942378480105,801.0534402958818,-29.816331561418508,105.03828073192243,282.44192698544646,160.9983019203919,-50.88104283186976,58.80450816758946,117.01722766636955,-5.613493326777752
2,33,433480302.69584143,43248.030269584146,44.011106204287785,120.61049028508037,834.7087637384188,-29.180134035459915,111.60474517104242,289.33378736447526,149.33137349787802,-45.74564959859406,64.3552877624219,119.46837092979266,-5.613493326777763
2,34,478489304.2698401,47748.930426984014,43.61284089473456,135.84177874759104,799.9459883067108,-32.912675539050504,117.9478052258732,301.22129663095245,133.49806028535232,-42.97348914285474,60.319395049833055,125.17114050664415,-5.613493326777752
2,35,404457584.077318,40345.7584077318,38.81904630881483,137.4301506779419,799.9459883067108,-35.769308540784515,105.17708759900191,299.01649120176097,121.75239025838263,-46.94716992658924,61.02851260633781,131.26691777019985,-5.613493326777741
2,36,340196380.4971214,33919.638049712135,26.131878610870963,148.49058289966118,737.5547748316656,-39.510669309861726,88.407173953841,302.38902418429615,138.61215707371605,-47.72883717373338,61.028512606337834,141.23719084199533,-5.853344061299248
2,37,297060319.3302893,29606.03193302893,32.25789776459082,131.30835803081712,737.5547748316658,-47.521867972545785,88.40717395384101,320.20358482884006,147.81727631541779,-49.053456802548936,58.42875402794583,133.0371209649592,-5.853344061299248
2,38,358777432.3387753,35777.743233877525,34.15315671988732,135.97852790518868,791.2084594013095,-46.31823162556509,68.45253737589161,309.64678166200423,147.57523328070351,-50.766105257800945,57.52365068548466,133.03712096495923,-3.7653387540798833
2,39,382517629.7807451,38151.76297807451,38.489077977734354,148.02562282833676,791.2084594013095,-50.380661710984434,72.5450617066137,312.246619852644,142.0430514246513,-50.76610525780093,58.32835815671504,143.7546827042668,-3.7653387540799055
2,40,441144901.4004869,44014.49014004869,39.21892819105577,157.44653676866398,766.3742525982552,-50.82678297579446,71.31802655519533,312.2466198526438,161.4920810441816,-50.874486729470966,61.74498989351183,143.75468270426683,-4.411771439359258
2,41,425375401.5293165,42437.54015293165,34.756715695736105,156.14630173447873,766.3742525982557,-45.962662590092485,78.79372225942205,291.02207541425196,169.5676054782191,-50.216887403873486,60.00659277093672,118.17247064868481,-4.411771439359247
2,42,373440884.0976419,37244.08840976419,34.75671569573606,156.1463017344788,628.4526323213225,-37.04553083439377,78.79372225942203,289.3682326170038,154.6735744964544,-51.24738136015851,56.55860704490194,111.38960566614129,-4.411771439359258
2,43,425852839.6426101,42485.28396426101,43.67669387715989,128.3165334391997,676.3468628217045,-35.30212196602827,74.50210699211148,275.48773127898954,154.67357449645442,-52.43174770880221,68.45337541569405,132.45455240957526,-4.411771439359247
