MA_Period,Final_Balance,Total_Return_Pct,Balance_2013,Return_2013_Pct,Balance_2014,Return_2014_Pct,Balance_2015,Return_2015_Pct,Balance_2016,Return_2016_Pct,Balance_2017,Return_2017_Pct,Balance_2018,Return_2018_Pct,Balance_2019,Return_2019_Pct,Balance_2020,Return_2020_Pct,Balance_2021,Return_2021_Pct,Balance_2022,Return_2022_Pct,Balance_2023,Return_2023_Pct,Balance_2024,Return_2024_Pct,Balance_2025,Return_2025_Pct
12,1.0826732727e-314,-100.0,776547.7411154332,-22.34522588845669,3.83668208269379e-27,-100.0,9.420806595800711e-65,-100.0,1.108443465971731e-105,-100.0,1.609454931737172e-132,-100.0,6.2066672612156e-162,-100.0,1.741116771235215e-189,-100.0,2.3386903610663746e-216,-100.0,5.2983282951076236e-242,-100.0,5.428652733838193e-268,-100.0,7.342201006010224e-293,-100.0,1.107637234e-314,-100.0,1.0826732727e-314,-2.253803000007071
13,1.50980953231395e-310,-100.0,799580.8047591943,-20.041919524080576,4.342754951068406e-26,-100.0,1.0271372094891366e-62,-100.0,1.8157329569907147e-102,-100.0,2.515494744977673e-128,-100.0,8.412404597641764e-157,-100.0,3.331835396889165e-183,-100.0,3.1438502602232885e-209,-100.0,1.4014443360217228e-233,-100.0,6.285575395773105e-259,-100.0,6.362697219833412e-283,-100.0,1.9971589937810492e-307,-100.0,1.50980953231395e-310,-99.92440213638397
14,2.3404052354364105e-299,-100.0,824275.6691084128,-17.57243308915872,2.879063312545911e-25,-100.0,1.5080487302166464e-60,-100.0,4.398659283363455e-99,-100.0,1.0071498486881291e-123,-100.0,3.2131881050500596e-151,-100.0,9.369245266911813e-177,-100.0,4.348407952277654e-202,-100.0,1.787556675322713e-225,-100.0,6.87158604507082e-250,-100.0,8.444502017805594e-273,-100.0,2.7585784435913644e-296,-100.0,2.3404052354364105e-299,-99.91515901094371
15,3.3190749563799257e-289,-100.0,831876.2667445946,-16.81237332554054,3.1445235750223677e-24,-100.0,1.2857603640726694e-58,-100.0,1.8028790889187237e-96,-100.0,2.0306658422551527e-120,-100.0,8.253591215267048e-147,-100.0,2.4471002776605096e-171,-100.0,9.660569611363037e-196,-100.0,1.4981328850696666e-218,-100.0,4.618641435126294e-242,-100.0,6.016419195217149e-264,-100.0,3.407791016035197e-286,-100.0,3.3190749563799257e-289,-99.90260333040489
16,8.546440384534736e-281,-100.0,831876.2667445946,-16.81237332554054,3.219331614330984e-23,-100.0,1.2967383635836024e-56,-100.0,1.8484581975911954e-93,-100.0,8.020015575072082e-117,-100.0,1.2855457918851273e-142,-100.0,2.547458617526009e-166,-100.0,8.737863820035993e-190,-100.0,8.143710646313935e-212,-100.0,1.0359621189008684e-234,-100.0,5.766197806186882e-256,-100.0,7.290123427336064e-278,-100.0,8.546440384534736e-281,-99.8827668630069
17,6.543544895264994e-273,-100.0,827327.937805987,-17.2672062194013,2.166564960090912e-22,-100.0,4.821521766473175e-55,-100.0,3.0242907303439595e-91,-100.0,6.3773990534528616e-114,-100.0,1.1549890724548411e-138,-100.0,1.980116218149964e-161,-100.0,4.0218641607069806e-184,-100.0,1.4711386894705152e-205,-100.0,5.403166136288557e-228,-100.0,8.681100671328126e-249,-100.0,4.824056778106311e-270,-100.0,6.543544895264994e-273,-99.86435597265432
18,1.8713288137600848e-265,-100.0,827327.937805987,-17.2672062194013,9.726681868239698e-22,-100.0,7.614505461252512e-54,-100.0,3.348929636964929e-89,-100.0,2.09919958248867e-111,-100.0,2.7170532153488732e-135,-100.0,1.661871652849472e-157,-100.0,1.3883698729592154e-179,-100.0,1.8156690928874177e-200,-100.0,1.2151994679362103e-222,-100.0,1.5985891319479355e-242,-100.0,1.1288438281449158e-262,-100.0,1.8713288137600848e-265,-99.83422606678593
19,5.017838979678419e-259,-100.0,852868.2126932971,-14.713178730670295,5.725864052669397e-21,-100.0,1.9710654265287575e-52,-100.0,4.995421153532638e-87,-100.0,8.777863516030135e-109,-100.0,3.096797071659349e-132,-100.0,5.941887857348627e-154,-100.0,1.1189979940313944e-175,-100.0,4.56171057242415e-196,-100.0,1.846553127983476e-217,-100.0,9.144221434759758e-237,-100.0,2.2987762696771407e-256,-100.0,5.017838979678419e-259,-99.7817169488885
20,8.3621125820435415e-252,-100.0,851756.2593521061,-14.824374064789392,4.221946804884975e-20,-100.0,9.238805638126435e-51,-100.0,1.5922581184522993e-84,-100.0,1.12535285315458e-105,-100.0,3.828439213438779e-128,-100.0,3.0569697768691825e-149,-100.0,1.3451163277725876e-170,-100.0,1.450539180777778e-190,-100.0,1.6421398190705736e-211,-100.0,4.16785417885799e-230,-100.0,3.380804207004403e-249,-100.0,8.3621125820435415e-252,-99.75265906955751
21,1.8385173369588237e-246,-100.0,851756.2593521061,-14.824374064789392,1.8290399578635593e-19,-100.0,1.7567488479641585e-49,-100.0,7.267565886139725e-83,-100.0,2.88101243383733e-103,-100.0,1.9098438491029826e-125,-100.0,4.828183788723404e-146,-100.0,9.637537997651718e-167,-100.0,2.3035621371075403e-186,-100.0,6.118379762045374e-207,-100.0,2.477036902347613e-225,-100.0,6.223278914609777e-244,-100.0,1.8385173369588237e-246,-99.70457417027497
22,2.0406747800477476e-241,-100.0,833801.285343535,-16.619871465646497,6.712935968607072e-19,-100.0,2.0141792074814017e-48,-100.0,5.603465716079178e-81,-100.0,5.325619435795802e-101,-100.0,8.264505350769598e-123,-100.0,4.0925375819736014e-143,-100.0,3.5140035792690175e-163,-100.0,2.02531710942189e-182,-100.0,1.5111568092758758e-202,-100.0,1.3556865604036971e-220,-100.0,5.869697624775098e-239,-100.0,2.0406747800477476e-241,-99.65233732459498
23,7.7092757971455e-237,-100.0,857599.2632947429,-14.24007367052571,1.829508895052874e-18,-100.0,2.997094527357942e-47,-100.0,1.9547285364376604e-79,-100.0,4.301814702160691e-99,-100.0,1.7816264199639898e-120,-100.0,2.9243305833428397e-140,-100.0,4.654850695605666e-160,-100.0,4.996804215928723e-179,-100.0,1.320228498545196e-198,-100.0,2.0953372683496357e-216,-100.0,2.329760542695522e-234,-100.0,7.7092757971455e-237,-99.66909578663282
24,8.693514005660055e-232,-100.0,850692.4235903557,-14.930757640964432,4.1669121939110755e-18,-100.0,5.231769024506138e-46,-100.0,7.750959389526775e-78,-100.0,6.942465120601512e-97,-100.0,9.049983978075493e-118,-100.0,5.395202785497983e-137,-100.0,2.4818572723566807e-156,-100.0,3.735208002279139e-175,-100.0,3.016611467537165e-194,-100.0,7.010589296335417e-212,-100.0,2.467705170823603e-229,-100.0,8.693514005660055e-232,-99.64770856306312
