short_period,long_period,final_balance,total_return,trades_count,profitable_years,losing_years,yearly_returns
5,10,18387830.631743,1738.7830631743,406,9,2,"Y2015=29.42,Y2016=63.20,Y2017=542.01,Y2018=-2.22,Y2019=24.88,Y2020=82.40,Y2021=1.81,Y2022=-48.21,Y2023=44.84,Y2024=5.32,Y2025=3.00"
5,11,59358631.73382269,5835.863173382269,380,10,1,"Y2015=52.82,Y2016=51.89,Y2017=651.93,Y2018=13.73,Y2019=39.45,Y2020=87.17,Y2021=56.20,Y2022=-48.13,Y2023=38.71,Y2024=3.77,Y2025=3.00"
5,12,19516935.445172954,1851.6935445172955,352,8,3,"Y2015=15.19,Y2016=73.14,Y2017=492.33,Y2018=-18.15,Y2019=47.64,Y2020=41.11,Y2021=40.64,Y2022=-45.84,Y2023=31.34,Y2024=15.30,Y2025=-2.61"
5,13,53488923.594049074,5248.892359404907,336,8,3,"Y2015=6.90,Y2016=55.27,Y2017=662.90,Y2018=16.52,Y2019=111.12,Y2020=63.20,Y2021=66.33,Y2022=-39.33,Y2023=-2.08,Y2024=23.46,Y2025=-0.08"
5,14,19085508.291154355,1808.5508291154356,308,10,1,"Y2015=43.08,Y2016=47.42,Y2017=211.14,Y2018=1.51,Y2019=90.32,Y2020=70.79,Y2021=12.38,Y2022=-34.00,Y2023=5.70,Y2024=35.71,Y2025=3.93"
5,15,42201886.79773134,4120.188679773134,284,9,2,"Y2015=42.13,Y2016=61.76,Y2017=642.92,Y2018=-5.78,Y2019=70.84,Y2020=56.12,Y2021=6.26,Y2022=-29.82,Y2023=9.96,Y2024=47.33,Y2025=3.93"
5,16,76026169.49385242,7502.616949385242,268,10,1,"Y2015=0.90,Y2016=82.91,Y2017=870.51,Y2018=1.91,Y2019=81.83,Y2020=44.98,Y2021=39.07,Y2022=-36.87,Y2023=45.50,Y2024=44.67,Y2025=2.03"
5,17,103239877.07247771,10223.98770724777,250,9,2,"Y2015=39.66,Y2016=67.97,Y2017=970.02,Y2018=-7.11,Y2019=70.91,Y2020=60.06,Y2021=42.10,Y2022=-36.74,Y2023=55.40,Y2024=41.90,Y2025=2.03"
5,18,107376602.56859751,10637.66025685975,246,10,1,"Y2015=45.18,Y2016=9.32,Y2017=1110.56,Y2018=6.07,Y2019=84.96,Y2020=42.24,Y2021=28.64,Y2022=-29.71,Y2023=104.93,Y2024=46.38,Y2025=2.03"
5,19,55704640.598045535,5470.4640598045535,224,10,1,"Y2015=53.04,Y2016=9.32,Y2017=1169.41,Y2018=14.58,Y2019=26.13,Y2020=0.51,Y2021=32.21,Y2022=-34.28,Y2023=94.79,Y2024=34.18,Y2025=5.74"
5,20,42176440.84001035,4117.6440840010355,218,9,2,"Y2015=53.04,Y2016=-23.12,Y2017=1009.27,Y2018=10.70,Y2019=2.81,Y2020=1.06,Y2021=89.75,Y2022=-34.01,Y2023=96.47,Y2024=23.93,Y2025=5.74"
5,21,84292758.69985479,8329.275869985478,214,7,4,"Y2015=58.88,Y2016=-15.41,Y2017=978.05,Y2018=-0.51,Y2019=7.60,Y2020=62.10,Y2021=56.27,Y2022=-35.02,Y2023=112.86,Y2024=81.20,Y2025=-1.95"
5,22,34436010.47258866,3343.6010472588655,220,7,4,"Y2015=45.72,Y2016=22.14,Y2017=504.76,Y2018=-0.51,Y2019=-12.24,Y2020=141.09,Y2021=29.55,Y2022=-44.55,Y2023=38.17,Y2024=74.05,Y2025=-1.95"
5,23,26355444.70459594,2535.544470459594,210,7,4,"Y2015=39.95,Y2016=27.86,Y2017=514.21,Y2018=-8.32,Y2019=-13.11,Y2020=155.67,Y2021=32.80,Y2022=-48.01,Y2023=35.76,Y2024=66.61,Y2025=-1.95"
5,24,27563847.808616187,2656.3847808616188,198,8,3,"Y2015=32.71,Y2016=-15.79,Y2017=604.76,Y2018=1.04,Y2019=25.09,Y2020=145.63,Y2021=34.29,Y2022=-49.88,Y2023=35.76,Y2024=63.65,Y2025=-1.95"
5,25,34143752.338371694,3314.375233837169,206,8,3,"Y2015=18.44,Y2016=-18.79,Y2017=752.64,Y2018=1.21,Y2019=89.10,Y2020=131.04,Y2021=56.61,Y2022=-45.35,Y2023=22.94,Y2024=58.40,Y2025=-1.95"
5,26,20181180.42488601,1918.1180424886013,200,7,4,"Y2015=18.34,Y2016=-22.75,Y2017=229.35,Y2018=-7.07,Y2019=96.00,Y2020=191.95,Y2021=40.44,Y2022=-49.11,Y2023=34.59,Y2024=92.01,Y2025=-1.95"
5,27,34111117.55642378,3311.1117556423787,200,7,4,"Y2015=15.59,Y2016=-27.67,Y2017=257.67,Y2018=-15.36,Y2019=95.39,Y2020=246.68,Y2021=91.82,Y2022=-44.90,Y2023=34.59,Y2024=102.42,Y2025=-4.13"
5,28,35556097.571192525,3455.609757119252,200,7,4,"Y2015=12.25,Y2016=-24.45,Y2017=226.81,Y2018=-13.40,Y2019=95.26,Y2020=250.41,Y2021=110.71,Y2022=-43.90,Y2023=32.36,Y2024=101.92,Y2025=-3.59"
5,29,11005256.337927364,1000.5256337927364,190,7,4,"Y2015=14.51,Y2016=-23.05,Y2017=156.26,Y2018=-15.35,Y2019=102.80,Y2020=146.06,Y2021=82.57,Y2022=-41.17,Y2023=29.64,Y2024=21.94,Y2025=-4.55"
5,30,16159823.852979278,1515.982385297928,204,7,4,"Y2015=4.10,Y2016=-27.44,Y2017=224.01,Y2018=-24.34,Y2019=97.14,Y2020=318.32,Y2021=91.87,Y2022=-43.87,Y2023=21.22,Y2024=21.94,Y2025=-4.55"
5,31,9566269.751806557,856.6269751806557,182,7,4,"Y2015=10.48,Y2016=-20.12,Y2017=224.01,Y2018=-23.07,Y2019=120.91,Y2020=61.55,Y2021=88.23,Y2022=-36.64,Y2023=25.25,Y2024=22.16,Y2025=-4.11"
5,32,10180627.045539143,918.0627045539144,178,7,4,"Y2015=13.48,Y2016=-20.12,Y2017=224.01,Y2018=-19.86,Y2019=120.91,Y2020=66.92,Y2021=88.23,Y2022=-37.30,Y2023=23.50,Y2024=23.03,Y2025=-4.11"
5,33,93710179.29836693,9271.017929836693,162,8,3,"Y2015=12.25,Y2016=100.88,Y2017=543.52,Y2018=-18.87,Y2019=117.43,Y2020=27.90,Y2021=92.33,Y2022=-33.13,Y2023=38.18,Y2024=138.65,Y2025=-4.11"
5,34,205506747.39035848,20450.674739035847,144,8,3,"Y2015=20.68,Y2016=102.85,Y2017=567.07,Y2018=-15.35,Y2019=121.44,Y2020=67.27,Y2021=131.20,Y2022=-30.99,Y2023=42.53,Y2024=143.62,Y2025=-4.11"
5,35,162522743.5073246,16152.274350732461,148,8,3,"Y2015=25.60,Y2016=96.46,Y2017=569.52,Y2018=-23.40,Y2019=120.78,Y2020=68.97,Y2021=130.58,Y2022=-34.59,Y2023=38.27,Y2024=145.97,Y2025=-1.76"
5,36,263882757.48023665,26288.275748023665,140,8,3,"Y2015=24.93,Y2016=12.88,Y2017=1011.31,Y2018=-20.09,Y2019=126.01,Y2020=81.08,Y2021=155.51,Y2022=-26.44,Y2023=37.49,Y2024=146.32,Y2025=-1.76"
5,37,173938844.72460672,17293.88447246067,148,7,4,"Y2015=24.02,Y2016=21.36,Y2017=1011.31,Y2018=-27.44,Y2019=-35.86,Y2020=338.66,Y2021=196.43,Y2022=-30.52,Y2023=30.09,Y2024=135.27,Y2025=-1.76"
5,38,183071442.8501539,18207.144285015387,140,7,4,"Y2015=24.40,Y2016=21.12,Y2017=977.28,Y2018=-38.23,Y2019=-34.06,Y2020=338.66,Y2021=200.38,Y2022=-27.64,Y2023=30.09,Y2024=135.27,Y2025=-1.76"
5,39,125198824.95138586,12419.882495138587,132,7,4,"Y2015=26.66,Y2016=27.34,Y2017=977.28,Y2018=-39.03,Y2019=-34.60,Y2020=215.23,Y2021=200.38,Y2022=-30.25,Y2023=26.69,Y2024=133.16,Y2025=-4.11"
5,40,63619134.8769421,6261.91348769421,132,7,4,"Y2015=21.48,Y2016=37.08,Y2017=910.65,Y2018=-41.38,Y2019=-32.58,Y2020=210.26,Y2021=67.55,Y2022=-32.47,Y2023=24.97,Y2024=131.54,Y2025=-4.11"
5,41,39300629.87448227,3830.062987448227,124,7,4,"Y2015=51.91,Y2016=36.53,Y2017=356.39,Y2018=-35.55,Y2019=-32.73,Y2020=214.51,Y2021=74.75,Y2022=-36.80,Y2023=23.72,Y2024=131.54,Y2025=-4.11"
5,42,143410280.08446524,14241.028008446523,130,8,3,"Y2015=22.67,Y2016=28.42,Y2017=356.39,Y2018=-30.94,Y2019=81.71,Y2020=214.51,Y2021=74.75,Y2022=-37.01,Y2023=103.92,Y2024=136.22,Y2025=-1.98"
5,43,82368321.03960262,8136.8321039602615,128,8,3,"Y2015=21.50,Y2016=32.91,Y2017=370.10,Y2018=-36.13,Y2019=88.63,Y2020=203.22,Y2021=74.75,Y2022=-38.81,Y2023=23.95,Y2024=131.54,Y2025=-1.60"
5,44,81383815.64285758,8038.381564285758,124,9,2,"Y2015=21.66,Y2016=32.91,Y2017=360.13,Y2018=-33.50,Y2019=92.19,Y2020=203.22,Y2021=74.75,Y2022=-39.63,Y2023=22.98,Y2024=125.97,Y2025=1.17"
5,45,142583043.30561253,14158.304330561254,120,9,2,"Y2015=62.74,Y2016=24.47,Y2017=376.98,Y2018=-25.80,Y2019=82.06,Y2020=200.85,Y2021=25.01,Y2022=-39.63,Y2023=102.50,Y2024=141.49,Y2025=1.17"
