short_period,long_period,final_value,total_return,value_2013,value_2014,value_2015,value_2016,value_2017,value_2018,value_2019,value_2020,value_2021,value_2022,value_2023,value_2024,value_2025,return_2013,return_2014,return_2015,return_2016,return_2017,return_2018,return_2019,return_2020,return_2021,return_2022,return_2023,return_2024,return_2025
5,33,368874712.15010494,36787.47121501049,1000000,562765.7922749766,851235.5481813642,2054980.6251093594,20289572.814768635,13524038.806827758,27202320.09847149,120093862.26371902,242629245.1824926,124511443.47261089,220131715.01965925,419866280.5114559,368874712.15010494,0.0,-43.72342077250234,51.25929114139128,141.41151406326435,887.3364530475264,-33.34488148028574,101.14050607972305,341.48389486258253,102.03301035459509,-48.68242557530107,76.79637218894037,90.73411592416795,-12.144716241379538
5,34,339656969.99187744,33865.69699918774,1000000,627923.9115559186,946393.6207075398,2235965.6875250386,18595922.54688363,12067034.32714436,23793198.223659623,97476292.87550385,221618919.60324574,111630711.19475615,193959358.04876038,386609610.1004851,339656969.99187744,0.0,-37.207608844408135,50.717882101748955,136.2617032280282,731.672983652411,-35.1092461440339,97.1751929978162,309.6813381673709,127.35673779294841,-49.629430829008854,73.7508934350242,99.32506169838602,-12.14471624137952
5,35,324630039.1300991,32363.003913009914,1000000,613854.2484778421,903857.5269939754,2054199.7753834957,18464202.023279935,10925295.978163369,21644941.353842,89429928.60816504,211593295.20654526,101094947.58569346,168008540.01952532,362215946.7727297,324630039.1300991,0.0,-38.61457515221579,47.243018881965334,127.27030688291075,798.8513310412021,-40.829850299576464,98.11766561843473,313.16780279606127,136.60233044983846,-52.2220458417596,66.1888591189113,115.5937708467881,-10.376657344192976
5,36,286931132.6972417,28593.11326972417,1000000,574906.701458122,829174.6971922619,1906703.48809491,17124965.191571373,9363659.499114806,18337395.63819789,75764214.64836302,173958077.82058907,83380439.81676479,137566660.66793218,320152232.8833273,286931132.6972417,0.0,-42.5093298541878,44.22769730971063,129.95196242135208,798.1451651238046,-45.321585215697574,95.83578023027661,313.1678027960614,129.60454170608583,-52.06865880481914,64.98672946586271,132.7251612628242,-10.376657344192976
5,37,271130858.9405059,27013.08589405059,1000000,585916.3216440512,859222.1825386324,2027878.8654888864,17988513.50771382,9699519.215493321,19261761.645785548,74881076.39612918,165388194.1561878,83471968.25766757,138421199.33412766,297901698.142349,271130858.9405059,0.0,-41.40836783559488,46.645886246639954,136.01332771663039,787.0605544467323,-46.0793733104518,98.58470526062963,288.7550774075386,120.86781082214412,-49.529669464291345,65.82956197563075,115.21392646169734,-8.986467471914489
5,38,265688488.56320387,26468.848856320386,1000000,614518.3021557587,889113.214018846,2059788.165943487,16745500.541873744,9810662.980258763,19633761.034245763,76523930.27170916,159375171.75064746,81592605.84236404,135642690.6915095,291921960.5954929,265688488.56320387,0.0,-38.54816978442413,44.68457829486862,131.66770366994308,712.9719754071632,-41.41313987165537,100.12675059527842,289.75685880170363,108.26840856809513,-48.804694642136084,66.24385174505834,115.21392646169741,-8.986467471914498
5,39,348742180.8234328,34774.21808234328,1000000,810322.5731294844,1094405.4792006984,2521578.3569491636,20333762.577306625,11724073.667501535,23427724.949869514,89744655.9701765,201701023.04244637,107440513.58997993,178886775.76427278,388878034.3868924,348742180.8234328,0.0,-18.967742687051555,35.05800226866189,130.40622556009168,706.3902722383878,-42.34183849187795,99.82580811318026,283.0702988113934,124.74989832205124,-46.73278698870559,66.49843693688005,117.38780450676501,-10.320936132774387
5,40,473781884.36993766,47278.18843699376,1000000,801576.6920445764,1128943.3111795867,2575196.0345568764,21642622.82697744,12621324.475270236,25673005.987878364,97576028.15643431,270148884.495684,146179783.55306867,243387054.73357365,528308240.4510774,473781884.36993766,0.0,-19.84233079554236,40.84033659960826,128.10676223114865,740.4262252874106,-41.68301792175666,103.40976129867445,280.0724706818723,176.8598902822527,-45.88917743415518,66.49843693687994,117.0650534513415,-10.320936132774369
5,41,482823907.4860215,48182.390748602156,1000000,805138.9563979525,1119098.5497548408,2552739.468021508,21453891.952515084,12459323.03685343,25244895.909703482,93036191.6223182,268536642.2808802,147873506.74332014,246257912.46710515,534539869.32487935,482823907.4860215,0.0,-19.48610436020475,38.99446062844695,128.10676223114868,740.4262252874106,-41.92511519853721,102.61851976252325,268.53466124436466,188.6367526424649,-44.93358318353833,66.53281435636835,117.06505345134141,-9.674855853909415
5,42,440556269.1165741,43955.62691165741,1000000,814003.7615777265,1185359.6203204005,2828651.1791931363,22443398.696778387,13327725.755174914,26360263.107072312,97146706.34477217,280401098.4926618,143305257.9540507,224699865.6753232,487744883.53323275,440556269.1165741,0.0,-18.599623842227352,45.62090204876952,138.63232142398755,693.431118756053,-40.616276816006355,97.78515548188781,268.53466124436466,188.63675264246487,-48.89276157461236,56.79806092486209,117.06505345134146,-9.674855853909417
