MA_Period,Final_Balance,Total_Return_Pct,Balance_2013,Return_2013_Pct,Balance_2014,Return_2014_Pct,Balance_2015,Return_2015_Pct,Balance_2016,Return_2016_Pct,Balance_2017,Return_2017_Pct,Balance_2018,Return_2018_Pct,Balance_2019,Return_2019_Pct,Balance_2020,Return_2020_Pct,Balance_2021,Return_2021_Pct,Balance_2022,Return_2022_Pct,Balance_2023,Return_2023_Pct,Balance_2024,Return_2024_Pct,Balance_2025,Return_2025_Pct
2,5.765805375e-315,-100.0,748107.1771708819,-25.189282282911808,1.204454614930203e-28,-100.0,4.031093387430965e-64,-100.0,9.202398547232759e-105,-100.0,1.4889967522452772e-143,-100.0,6.791294425889109e-186,-100.0,3.909894394068823e-226,-100.0,1.0394972214473252e-267,-100.0,3.0913189016621513e-308,-100.0,9.4040949e-316,-99.99999695790206,2.22841432e-315,136.96212586883541,5.55685118e-315,149.3634655569018,5.765805375e-315,3.7602985705232017
3,1.0090159406e-314,-100.0,776160.0013961139,-22.383999860388613,2.2780013726438646e-23,-100.0,1.6267680992674663e-52,-100.0,1.9137644156003187e-86,-100.0,3.7714361399306276e-115,-100.0,4.65371581242903e-147,-100.0,4.8784003638807765e-177,-100.0,9.007467805111886e-208,-100.0,5.426703120392681e-237,-100.0,2.162690072354207e-266,-100.0,4.275024992059995e-294,-100.0,9.724489564e-315,-100.0,1.0090159406e-314,3.7602985705232017
4,4.40709613279349e-276,-100.0,786764.3556309178,-21.323564436908214,9.124987659263582e-21,-100.0,1.6647846996175684e-46,-100.0,2.282749313085382e-76,-100.0,4.853453451286344e-100,-100.0,2.1143947247602268e-126,-100.0,2.209342934495141e-151,-100.0,8.626376825609709e-177,-100.0,7.910593630406488e-201,-100.0,1.0701071820702983e-225,-100.0,8.632374687892242e-249,-100.0,4.21620767484327e-273,-100.0,4.40709613279349e-276,-99.89547250817152
5,1.5592113879841647e-244,-100.0,785356.2020988972,-21.46437979011028,8.269684747563776e-19,-100.0,1.1368000091399183e-42,-100.0,4.0000732812643934e-70,-100.0,1.0476266376403577e-90,-100.0,9.178014729509329e-114,-100.0,1.399661429004697e-135,-100.0,1.511341306758364e-157,-100.0,7.445269577856118e-179,-100.0,1.063758814002219e-200,-100.0,5.748558396738571e-221,-100.0,6.608135428473105e-242,-100.0,1.5592113879841647e-244,-99.76404669594605
6,1.6280728313340902e-221,-100.0,782272.2793481699,-21.77277206518301,9.071255805204796e-17,-100.0,8.708300185649749e-39,-100.0,2.590541886287541e-64,-100.0,7.350940417233875e-83,-100.0,7.655766361384387e-104,-100.0,1.067408370278018e-123,-100.0,2.137783998543357e-143,-100.0,2.087012993790955e-162,-100.0,3.5281667528548534e-182,-100.0,3.0250669584958635e-200,-100.0,4.033090612391974e-219,-100.0,1.6280728313340902e-221,-99.59632128612938
7,2.8316987759539655e-204,-100.0,764695.2582401647,-23.530474175983528,2.3722157424278982e-15,-100.0,8.807827375268387e-36,-100.0,6.017966974853724e-60,-100.0,1.2337046699767613e-76,-100.0,8.526697984135332e-96,-100.0,6.407209274756155e-114,-100.0,4.530798788553665e-132,-100.0,1.7170550181284835e-149,-100.0,7.880697194588064e-168,-100.0,8.605355167359946e-185,-100.0,4.990604690897959e-202,-100.0,2.8316987759539655e-204,-99.43259405395933
8,8.889304257452162e-191,-100.0,797368.0429099435,-20.263195709005654,3.159146717935487e-14,-100.0,1.8472849807869213e-33,-100.0,1.9157997073308047e-56,-100.0,4.80014484280818e-72,-99.99999999999997,4.557176092040154e-90,-100.0,9.070018597669767e-107,-100.0,1.863253285220487e-123,-100.0,8.180721578836996e-140,-100.0,5.602168303810852e-157,-100.0,1.1796120026652938e-172,-99.99999999999997,1.1336407756576689e-188,-99.99999999999999,8.889304257452162e-191,-99.21586233943506
9,7.737753708099892e-180,-100.0,785457.977317971,-21.454202268202906,3.1812563082899494e-13,-100.0,1.9055149638629844e-31,-100.0,2.4457599378731176e-53,-100.0,5.73955411400501e-68,-99.99999999999977,8.921201726040643e-85,-100.0,8.9255376633316e-101,-99.99999999999999,1.0080050596007812e-116,-99.99999999999999,4.2568668823894284e-132,-99.99999999999996,2.420962043090691e-148,-99.99999999999999,4.9985744081794165e-163,-99.99999999999979,6.696806574420465e-178,-99.99999999999987,7.737753708099892e-180,-98.84456066901268
10,9.53024017879443e-171,-100.0,840214.3138885358,-15.978568611146414,2.5123158925760132e-12,-100.0,7.354694018503432e-30,-100.0,8.800737060240092e-51,-100.0,1.2837702156267554e-64,-99.99999999999855,7.77160191057053e-81,-99.99999999999999,2.5782711637545998e-96,-99.99999999999997,1.631312266507925e-111,-99.99999999999993,7.621418800203573e-126,-99.99999999999953,2.1379616528748988e-141,-99.99999999999997,6.632930737858715e-155,-99.9999999999969,6.859342660707593e-169,-99.99999999999896,9.53024017879443e-171,-98.6106190271866
11,2.8566389730376766e-163,-100.0,848616.4570274211,-15.138354297257894,1.615936082573375e-11,-100.0,1.7656092688835726e-28,-100.0,9.797488776705618e-49,-100.0,2.8202935191384674e-62,-99.99999999999713,1.0737200538710778e-77,-99.99999999999997,2.6299791227797875e-92,-99.99999999999976,1.7474772116294008e-106,-99.99999999999933,3.3822568151892215e-120,-99.99999999999807,6.551153800408385e-135,-99.99999999999982,3.916469912721459e-148,-99.99999999999403,1.9558824487636383e-161,-99.999999999995,2.8566389730376766e-163,-98.53946285225709
12,5.499157616711966e-157,-100.0,874825.7759181085,-12.51742240818915,5.560663291202143e-11,-99.99999999999999,3.325948353996201e-27,-99.99999999999999,9.818978616033297e-47,-100.0,1.3679146699674676e-59,-99.99999999998607,3.1929905896155092e-74,-99.99999999999977,3.824971902852199e-88,-99.9999999999988,4.991569828173023e-102,-99.99999999999869,1.8368003871008735e-115,-99.99999999999632,1.4369766049658574e-129,-99.99999999999922,2.0744720856989434e-142,-99.99999999998556,3.51191701308368e-155,-99.99999999998307,5.499157616711966e-157,-98.43414363260156
13,5.732636258631708e-151,-100.0,851700.7172237743,-14.829928277622573,2.715428408618397e-10,-99.99999999999997,6.874281267621823e-26,-99.99999999999997,6.060164268158939e-45,-100.0,7.272168995786324e-57,-99.99999999987999,1.1367376297025237e-70,-99.99999999999844,5.18651759068372e-84,-99.99999999999544,1.283777874331261e-97,-99.99999999999753,1.090825581620012e-110,-99.9999999999915,1.388918304714151e-124,-99.99999999999872,7.280933496950305e-137,-99.99999999994758,2.8442129948508278e-149,-99.99999999996093,5.732636258631708e-151,-97.98445606253466
14,4.092226495009437e-146,-100.0,879210.0349158742,-12.078996508412576,9.470586886911984e-10,-99.99999999999989,8.171685169584217e-25,-99.99999999999991,2.2741797357397822e-43,-100.0,8.384640763399304e-55,-99.9999999996313,3.653977745532493e-68,-99.99999999999564,4.881477108645659e-81,-99.99999999998664,2.151949728578774e-94,-99.9999999999956,3.303792388832628e-107,-99.99999999998465,1.2039451307323976e-120,-99.99999999999636,1.580795909710278e-132,-99.99999999986869,1.7911916383388986e-144,-99.9999999998867,4.092226495009437e-146,-97.71536087629102
15,9.678449737802733e-141,-100.0,930689.8762298655,-6.931012377013457,3.2728477350729014e-09,-99.99999999999964,7.129058287845311e-24,-99.99999999999977,9.467420834863419e-42,-100.0,8.296916167896017e-53,-99.99999999912363,8.75657873174705e-66,-99.99999999998944,4.0026944371544955e-78,-99.9999999999543,7.230516115182499e-91,-99.99999999998194,3.0780846778410575e-103,-99.99999999995744,3.0064058831173806e-116,-99.99999999999022,1.240794913211102e-127,-99.99999999958729,3.3023742586888833e-139,-99.99999999973384,9.678449737802733e-141,-97.06924504018957
